,enterprise_id,year_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,number_of_shareholders,number_of_employees,forex_rate
0,1,94,1994,4016.64,3355.64,0.3,-0.12,0.12,0.01,0.3,0.7,0.0,0.28,0.48,4.02,5.0,-2.57,0.333,-8.01,2.3,1.74,0.65,9.88,0.34,0.2,-2.92,-2.04,16.33,228.57,120.83,0.0,13298.32,13388.8,1.54,0,11287,1.0
1,1,95,1995,4543.209,4355.209,0.33,-0.17,0.14,0.0,0.27,0.79,0.0,0.39,0.42,4.09,5.0,-1.48,0.512,17.11,2.25,1.48,0.41,13.77,0.44,0.3,-2.83,-1.89,16.21,34.78,16.98,-12.75,13781.264,13767.3,1.99,0,13191,1.0
2,1,96,1996,2788.74,2178.74,0.2,-0.11,0.09,-0.01,0.16,0.67,0.0,0.0,0.29,2.58,4.0,-2.96,0.232,-22.67,2.25,1.92,0.87,0.0,0.37,0.15,-1.28,-1.4,-11.58,-290.32,-230.65,0.0,13858.208,13943.7,0.97,0,10896,1.0
3,1,97,1997,2722.757,2389.757,0.19,-0.11,0.02,-0.05,0.08,0.42,0.0,0.0,0.02,2.05,3.0,-3.89,0.134,-16.54,1.88,1.64,0.8,0.0,0.26,0.12,-2.77,-1.25,-29.3,-25.42,24.69,0.0,14118.944,14330.3,-0.35,0,8437,1.0
4,1,98,1998,5148.144,3952.144,0.34,-0.02,0.06,0.02,0.06,0.2,0.0,0.19,0.04,3.76,7.0,-3.25,0.07,1.8,2.43,2.38,1.51,4.21,0.38,0.12,-5.66,-0.8,-37.05,125.68,144.26,0.0,14781.088,15141.6,0.46,0,6658,1.0
5,1,99,1999,9725.13,6949.13,0.54,0.06,0.12,0.09,0.22,0.19,0.0,0.28,0.16,5.53,9.0,-2.67,0.042,14.86,2.77,2.75,2.08,8.21,0.71,0.28,-18.94,-0.11,-0.63,68.42,51.85,0.0,16033.584,18009.5,0.52,0,9736,1.0
6,1,0,2000,8647.034,4996.034,0.46,0.07,0.14,0.11,0.32,0.24,0.0,0.37,0.2,4.72,7.0,-2.18,0.074,13.08,2.81,2.79,2.08,29.52,1.29,0.46,-4.38,0.36,26.11,21.88,43.9,0.0,18175.808,18797.9,1.97,0,11728,1.0
7,1,1,2001,5502.448,1483.448,0.28,0.11,0.15,0.13,0.28,0.17,0.0,0.0,0.22,3.69,4.0,-3.46,-0.015,-18.3,3.39,3.38,2.86,0.0,0.47,0.25,-4.54,-0.76,-30.05,-102.56,-94.92,0.0,19354.328,19651.6,1.93,0,11434,1.0
8,1,2,2002,5226.442,1205.442,0.26,0.11,0.16,0.13,0.32,0.17,0.0,0.16,0.31,3.61,7.0,-2.14,0.012,3.62,3.25,3.22,2.62,4.27,0.47,0.25,-2.29,-2.01,2.17,400.0,233.33,0.0,19881.232,20101.7,2.12,0,12241,1.0
9,1,3,2003,7598.579,3336.579,0.37,0.1,0.16,0.13,0.31,0.26,0.0,0.13,0.28,3.83,6.0,-2.41,-0.006,-15.38,2.5,2.47,1.94,3.13,0.41,0.23,-2.16,-0.36,7.77,0.0,-30.0,-31.31,20195.336,20536.7,1.41,0,13566,1.0
10,1,4,2004,15125.352,9661.352,0.69,0.11,0.19,0.14,0.35,0.37,0.0,0.26,0.3,5.35,7.0,-2.71,-0.057,10.19,2.66,2.62,2.06,112.0,0.69,0.35,-6.74,-2.82,25.25,300.0,242.86,-21.96,20809.04,21920.8,1.29,0,13426,1.0
11,1,5,2005,44656.755,36395.755,1.91,0.18,0.27,0.21,0.53,0.66,1.35,0.62,0.42,9.47,8.0,-2.57,-0.103,11.71,2.95,2.91,2.37,,1.92,0.68,-6.66,-1.22,52.09,358.33,216.67,24.1,22636.292,23380.5,1.11,0,16820,1.0
12,1,6,2006,65855.35,55745.35,2.75,0.12,0.3,0.17,0.78,1.03,2.03,0.86,0.65,8.15,5.0,-1.16,-0.011,-3.42,2.25,2.21,1.57,,3.06,1.76,-2.42,0.06,35.28,47.27,43.42,82.9,23633.624,23947.4,1.96,0,20186,1.0
13,1,7,2007,133850.096,118464.096,5.48,0.19,0.46,0.24,1.34,1.47,3.53,1.35,1.05,10.15,7.0,-2.64,-0.05,5.03,2.37,2.33,1.66,,5.52,2.62,-2.0,-0.27,25.57,72.84,74.31,118.29,24208.66,24425.2,2.21,30336,23700,1.0
14,1,8,2008,101054.212,78943.212,4.06,0.33,0.65,0.41,2.35,3.33,6.08,2.18,1.75,7.43,8.0,-2.37,0.007,13.03,2.64,2.6,1.95,,7.14,3.76,-1.9,-0.48,50.35,72.86,83.68,99.14,24684.576,24890.2,2.92,30445,35100,1.0
15,1,9,2009,166788.252,143324.252,6.62,0.3,0.62,0.41,3.44,4.61,7.25,3.0,2.42,9.25,6.0,-1.92,0.226,32.65,2.74,2.7,2.04,,6.65,2.79,-1.22,-0.28,13.81,33.88,40.69,70.86,25004.448,25194.6,1.49,30573,36800,1.0
16,1,10,2010,259806.136,234186.136,10.13,-0.07,0.56,0.11,5.36,7.51,13.53,4.71,3.39,8.4,6.0,-1.86,0.467,12.33,2.01,1.96,1.24,,10.44,6.46,-1.8,-0.35,49.14,66.98,52.75,60.88,25464.908,25647.2,1.39,29405,49400,1.0
17,1,11,2011,354389.676,328437.676,13.62,-0.53,0.2,-0.36,8.71,14.35,24.73,7.86,4.77,8.18,7.0,-2.4,0.674,24.76,1.61,1.58,0.93,,14.77,9.95,-1.45,-0.23,63.87,82.81,83.07,62.26,25879.224,26019.8,0.86,28543,63300,1.0
18,1,12,2012,626676.574,597547.574,23.83,-1.09,-0.01,-0.77,13.48,21.71,39.43,12.34,7.3,9.37,6.0,-2.17,0.765,22.21,1.5,1.48,0.76,,25.08,12.98,-1.07,-0.11,43.24,59.56,62.42,64.63,26174.904,26297.8,0.86,27696,76100,1.0
19,1,13,2013,428781.34,405195.34,17.03,-1.7,-0.4,-1.28,18.03,24.05,35.4,12.23,10.06,5.59,5.0,-2.84,0.568,8.28,1.68,1.64,0.93,360.29,23.98,13.95,4.26,5.21,10.81,-10.01,-1.93,53.45,25909.28,25178.0,0.58,24710,84400,1.0
20,1,14,2014,591073.274,601291.274,25.19,-4.06,-2.21,-3.45,23.18,27.59,40.2,12.61,12.14,5.06,5.0,-2.7,0.588,1.02,1.08,1.05,0.4,136.73,25.83,17.18,6.81,7.49,13.92,13.59,15.41,40.6,24342.288,23464.6,1.04,26112,97000,1.0
21,1,15,2015,615447.7,638174.7,27.58,-5.8,-3.66,-5.18,30.87,37.99,57.53,16.01,15.39,4.28,8.0,-2.86,0.613,9.78,1.11,1.08,0.52,97.18,33.25,24.07,4.9,5.64,35.13,42.9,44.49,28.9,23013.684,22315.0,1.09,25924,110000,1.0
22,1,16,2016,603201.222,623078.222,28.26,-5.92,-4.06,-5.31,37.18,35.93,36.13,16.19,18.1,3.71,5.0,-2.8,0.51,7.91,1.35,1.33,0.85,41.23,30.64,22.59,4.35,4.85,-2.83,-9.85,-8.61,17.47,21883.28,21344.7,1.55,25641,116000,1.0
23,1,17,2017,790049.944,831548.944,38.53,-8.15,-5.49,-7.38,41.51,38.7,30.83,18.4,17.99,3.62,4.0,-2.5,0.546,8.15,1.28,1.23,0.74,26.41,41.01,26.43,3.93,4.09,11.34,10.83,9.36,13.4,20868.968,20504.8,1.39,25333,123000,1.0
24,1,18,2018,1073483.156,1121665.156,56.44,-10.11,-6.69,-9.09,46.03,47.27,37.77,19.43,21.07,4.22,6.0,-2.42,0.414,-9.29,1.13,1.1,0.57,21.88,57.09,38.37,7.24,6.71,21.69,29.4,19.4,12.72,19821.51,19019.9,1.27,23712,132000,1.0
25,1,19,2019,995104.671,1002594.671,55.99,-8.3,-4.79,-7.21,48.58,50.73,25.54,18.44,27.09,4.24,6.0,-2.87,0.268,-17.73,1.54,1.5,0.95,17.88,58.02,35.55,6.56,6.64,5.36,-0.34,1.15,8.62,18471.336,17772.9,1.1,23233,137000,1.0
26,1,20,2020,1966083.208,1987576.208,115.81,-9.87,-6.76,-9.04,47.25,56.81,23.18,16.85,28.75,6.33,7.0,-2.97,0.257,-5.86,1.36,1.33,0.86,23.07,134.18,54.74,4.48,3.64,11.94,10.44,5.0,7.09,17352.119,16976.8,1.28,22797,147000,1.0
27,1,21,2021,2324392.2,2386472.2,141.5,-13.71,-9.32,-12.31,60.85,79.74,76.21,22.02,33.57,6.99,7.0,-2.25,0.386,1.48,1.07,1.02,0.5,41.19,156.69,108.77,3.24,3.65,38.5,71.04,57.96,13.56,16701.272,16426.8,1.28,23502,154000,1.0
28,1,22,2022,2203377.88,2275142.88,138.2,-15.92,-10.45,-14.44,71.25,89.67,111.08,20.9,41.69,6.56,6.0,-2.66,0.349,0.0,0.88,0.85,0.31,40.75,182.01,130.06,2.94,4.06,11.35,8.91,11.7,18.18,16215.963,15943.4,1.31,23838,164000,1.0
29,1,23,2023,2662332.621,2711865.621,171.21,-14.72,-9.45,-13.09,80.9,94.53,112.18,23.48,50.69,7.68,7.0,-2.67,0.317,-4.89,0.99,0.94,0.42,29.06,196.45,125.02,2.47,2.91,0.35,0.33,0.18,18.33,15744.231,15550.1,1.24,23763,161000,1.0
30,2,10,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1616.0,1625.0,0.0,0,0,1.0
31,2,11,2011,0.0,0.0,0.0,-3.34,1.71,-1.52,0.0,0.0,0.0,14.8,0.0,0.0,,0.0,0.0,20.03,2.19,1.96,0.0,,0.0,0.0,0.0,0.0,10.01,-9.88,3.81,0.0,1616.0,1625.0,0.0,0,0,1.0
32,2,12,2012,0.0,0.0,0.0,-4.27,-0.14,-2.24,0.0,0.0,0.0,10.02,0.0,1.6,,0.0,0.536,-17.25,1.25,1.1,0.11,,0.0,0.0,0.0,0.0,11.56,-17.81,-17.95,0.0,1616.0,1625.0,0.0,0,0,1.0
33,2,13,2013,53972.8,61668.8,34.16,-9.92,-5.25,-7.53,0.0,0.0,0.0,0.0,0.0,3.14,8.0,-3.13,0.567,4.99,2.27,2.1,1.18,58.7,35.35,33.0,2.77,0.0,8.57,58.54,45.56,0.0,1577.0,1580.0,0.0,0,21500,1.0
34,2,14,2014,83828.482,88656.482,52.81,-9.33,-4.32,-7.15,0.0,0.0,0.0,0.0,0.0,3.84,6.0,-2.66,0.345,-10.34,2.59,2.43,1.44,20.07,54.32,33.71,-0.47,0.38,0.51,-23.58,-8.02,0.0,1589.0,1587.36,0.0,58250,25000,1.0
35,2,15,2015,104140.562,110743.562,65.44,-10.93,-6.09,-8.82,0.0,0.0,0.0,0.0,0.0,3.72,5.0,-2.87,0.286,-3.09,1.41,1.31,0.74,8.77,69.71,46.46,-0.25,0.64,5.84,-57.03,-45.31,0.0,1595.0,1591.39,0.0,56161,26000,1.0
36,2,16,2016,95369.884,118633.884,59.24,-25.28,-20.37,-22.54,0.0,0.0,0.0,0.0,22.15,2.24,7.0,-1.99,0.989,19.88,1.5,1.34,0.77,10.69,71.23,48.27,-1.16,7.95,12.63,184.55,125.02,0.0,1625.0,1609.89,1.62,53653,28000,1.0
37,2,17,2017,99722.976,130141.976,62.62,-34.56,-28.43,-31.87,34.32,0.0,31.48,0.0,23.45,2.02,6.0,-2.4,0.661,7.54,1.65,1.51,0.66,9.11,67.39,51.18,1.08,6.05,12.57,15.97,23.88,7.49,1622.0,1592.51,1.49,52270,30000,1.0
38,2,18,2018,153974.892,181553.892,96.71,-35.11,-27.93,-32.21,44.89,0.0,59.95,0.0,26.06,2.4,5.0,-2.66,0.494,-6.18,1.28,1.18,0.59,8.58,98.21,60.0,0.02,0.92,11.98,-9.09,4.34,12.59,1596.0,1592.13,1.39,50095,29000,1.0
39,2,19,2019,136332.416,168581.416,92.19,-40.4,-34.39,-37.12,51.06,0.0,137.09,0.0,29.03,2.2,7.0,-3.11,0.336,-11.35,0.98,0.89,0.47,5.05,123.21,77.85,7.12,8.81,20.36,10.91,-16.98,20.16,1541.0,1478.82,1.44,48516,30000,1.0
40,2,20,2020,130942.691,157746.691,88.54,-38.79,-32.3,-35.42,63.99,0.0,101.79,0.0,46.88,2.09,8.0,-2.74,0.314,-6.78,3.18,3.06,2.56,7.49,90.79,62.98,-0.01,0.48,5.81,44.26,53.28,17.59,1481.0,1478.91,0.66,46544,30000,1.0
41,2,21,2021,189133.68,266731.68,107.15,-73.09,-64.2,-68.4,81.1,0.0,40.97,0.0,17.53,1.23,4.0,-1.68,1.017,16.33,0.84,0.73,0.3,5.19,108.67,64.5,-19.35,0.52,22.14,-48.48,-10.6,6.61,1667.0,1765.13,0.79,47754,47000,1.0
42,2,22,2022,239433.236,306315.236,135.4,-68.59,-58.36,-63.47,104.61,0.0,88.53,0.0,35.78,1.8,7.0,-2.61,0.547,-6.07,0.79,0.7,0.28,7.86,135.93,102.3,-0.18,0.39,15.51,137.13,82.84,11.27,1770.0,1768.34,0.73,46139,50000,1.0
43,2,23,2023,285917.18,339992.18,161.61,-63.49,-52.62,-57.71,122.74,138.82,194.54,0.0,58.42,2.24,8.0,-2.73,0.487,-8.99,0.96,0.84,0.31,8.44,174.96,131.98,-0.05,0.52,3.24,2.79,0.95,21.39,1771.0,1769.18,0.69,44487,50000,1.0
44,3,94,1994,10888.184,11659.793,6.63,-2.21,-0.26,-1.32,5.19,0.0,0.0,6.36,5.3,4.24,4.0,-2.72,0.641,4.5,1.16,0.85,0.12,,6.8,5.15,1.78,4.03,8.15,14.86,24.42,0.0,1657.976,1642.26,0.97,0,49659,1.0
45,3,95,1995,11727.888,12472.154,7.3,-2.59,-0.37,-1.59,8.14,7.35,0.0,7.22,5.69,4.14,6.0,-2.74,0.623,2.92,1.12,0.82,0.09,,7.52,5.85,2.17,4.94,11.14,10.0,12.53,0.0,1624.472,1606.56,0.58,0,49464,1.0
46,3,96,1996,14659.619,15828.983,9.31,-2.98,-0.5,-1.89,10.59,8.52,13.75,8.11,6.11,4.3,6.0,-2.52,0.653,8.08,1.12,0.82,0.08,,9.99,6.99,1.99,4.74,11.41,13.37,13.22,13.13,1590.724,1574.61,0.5,0,50241,1.0
47,3,97,1997,17813.389,20019.789,11.36,-3.95,-1.16,-2.74,13.99,9.74,16.26,7.87,6.24,4.03,5.0,-2.39,0.747,13.08,1.03,0.75,0.03,,12.7,8.67,0.41,3.93,10.91,12.26,12.92,14.45,1555.372,1568.08,0.89,0,52817,1.0
48,3,98,1998,22403.265,24892.665,14.66,-4.47,-1.32,-3.18,17.13,10.85,17.02,8.41,7.88,4.18,5.0,-2.69,0.673,5.47,1.0,0.75,0.05,,15.36,11.27,2.54,4.0,8.39,10.92,8.28,13.56,1551.567,1528.19,1.0,0,54487,1.0
49,3,99,1999,33247.196,35934.996,21.93,-4.68,-1.26,-3.25,19.37,11.91,15.92,9.55,9.23,4.97,6.0,-2.59,0.7,7.73,1.13,0.84,0.08,,22.27,14.92,0.79,2.18,6.2,13.64,10.57,11.46,1537.242,1516.06,0.78,0,56236,1.0
50,3,0,2000,25139.075,26648.839,16.25,-4.09,-0.4,-2.61,20.67,13.13,14.35,10.99,10.74,4.58,6.0,-2.64,0.674,4.88,1.42,1.09,0.16,,23.69,14.91,-2.04,-1.73,5.54,4.67,2.08,10.12,1536.762,1547.02,0.77,0,57100,1.0
51,3,1,2001,33515.762,33914.866,21.68,-3.59,0.43,-1.97,19.74,14.36,10.8,12.42,12.8,5.62,6.0,-2.63,0.62,1.99,1.72,1.31,0.27,,24.95,13.26,0.07,0.98,3.78,13.38,5.8,7.14,1548.015,1545.93,0.51,0,60571,1.0
52,3,2,2002,38972.067,45547.355,25.07,-8.7,-3.74,-6.63,20.0,18.75,6.91,5.98,9.54,3.07,4.0,-2.19,1.023,27.34,1.06,0.78,0.09,,25.53,18.82,-0.56,-0.39,18.44,-44.38,3.85,5.58,1550.39,1554.53,0.13,0,71426,1.0
53,3,3,2003,28119.629,33576.129,17.99,-8.08,-2.86,-5.89,20.58,18.02,0.0,8.04,11.32,2.92,8.0,-2.72,0.692,2.03,1.3,0.95,0.14,,25.9,13.94,-0.55,-0.49,-6.61,79.8,-2.5,4.76,1560.956,1563.07,0.18,0,71819,1.0
54,3,4,2004,32776.694,37479.959,20.95,-7.47,-2.14,-5.0,21.75,22.2,0.0,9.46,12.73,3.29,6.0,-2.54,0.733,2.45,1.38,0.99,0.18,,21.2,15.46,-0.09,0.07,13.19,-1.69,-2.27,1.0,1562.815,1564.52,0.26,0,72200,1.0
55,3,5,2005,34819.646,39541.301,22.32,-7.94,-2.38,-5.32,24.41,24.5,0.0,10.39,14.78,3.26,8.0,-2.58,0.731,9.56,1.57,1.19,0.3,,22.48,17.69,0.29,0.99,13.98,17.71,30.19,3.45,1560.557,1560.02,0.48,0,60600,1.0
56,3,6,2006,29045.27,32722.691,18.87,-7.65,-2.17,-5.08,28.42,27.93,13.35,11.92,17.19,3.14,6.0,-2.85,0.629,-3.71,1.54,1.19,0.4,,23.92,18.0,1.33,3.71,13.98,4.85,5.43,6.14,1552.457,1539.23,0.38,0,59735,1.0
57,3,7,2007,35833.064,46870.554,23.31,-13.5,-7.05,-10.52,31.15,27.86,10.67,0.0,16.87,2.13,5.0,-2.71,0.861,21.52,0.94,0.71,0.11,,23.67,18.92,0.13,0.7,2.41,-48.15,-0.41,6.54,1529.848,1537.24,-0.27,0,66663,1.0
58,3,8,2008,41646.082,51038.959,26.87,-12.33,-5.09,-8.99,36.4,31.12,20.92,8.18,20.09,2.69,5.0,-2.55,0.751,-1.11,1.54,1.22,0.31,,28.44,23.43,-0.82,-0.46,13.57,106.25,12.86,8.75,1543.082,1549.91,-0.13,73176,68000,1.0
59,3,9,2009,39469.005,45873.822,25.54,-12.85,-5.11,-11.95,44.55,33.54,28.1,9.82,26.52,2.74,7.0,-2.71,0.601,-0.06,1.47,1.23,0.44,10.96,28.95,23.66,0.29,2.74,13.63,35.06,27.47,9.94,1545.355,1545.38,0.36,69733,69000,1.0
60,3,10,2010,40066.721,46633.689,25.83,-12.65,-4.03,-8.44,50.52,33.89,64.47,14.68,30.55,2.58,6.0,-2.32,0.694,4.14,1.79,1.54,0.76,12.0,27.39,19.87,-0.37,2.06,4.81,18.27,19.92,14.25,1546.983,1551.17,0.26,67461,73000,1.0
61,3,11,2011,35456.782,49011.944,22.92,-20.97,-10.07,-16.46,57.69,37.41,49.23,0.0,31.27,2.03,6.0,-2.47,0.691,13.34,1.29,1.11,0.32,11.57,26.91,21.94,0.27,2.44,14.24,-19.78,-9.38,15.8,1546.4,1546.98,0.29,64413,90000,1.0
62,3,12,2012,42243.222,49646.752,26.9,-17.66,-7.68,-12.95,46.87,21.7,5.17,0.0,32.81,1.8,5.0,-2.38,0.526,-8.13,1.54,1.32,0.52,4.54,26.95,21.61,-1.51,0.18,-39.55,1.69,-48.19,8.15,1557.0,1570.38,0.34,62939,91000,1.0
63,3,13,2013,49412.838,54806.838,31.34,-16.07,-5.83,-11.25,50.75,19.17,0.0,4.82,28.65,1.84,6.0,-2.69,0.533,3.29,2.36,2.07,1.14,4.25,34.51,25.91,-0.4,4.78,-12.41,23.59,-38.85,-17.28,1575.0,1576.67,0.46,60476,91000,1.0
64,3,14,2014,59338.673,57897.673,38.33,-6.26,0.95,-3.45,49.23,21.03,0.0,13.45,29.71,3.67,6.0,-2.76,0.353,7.41,2.02,1.74,0.85,14.71,38.71,32.05,1.81,2.7,4.37,-56.45,37.07,-28.95,1558.0,1548.1,0.63,57854,69000,1.0
65,3,15,2015,67891.961,71374.961,45.02,-10.09,-4.06,-7.43,45.99,21.29,0.0,9.36,21.7,3.65,7.0,-2.55,0.582,-2.89,1.3,1.04,0.43,17.33,46.37,35.85,2.59,3.23,6.17,-8.02,11.29,-23.37,1516.0,1508.04,0.94,55171,77000,1.0
66,3,16,2016,66137.61,69128.61,44.91,-9.45,-3.99,-6.82,42.83,22.48,0.0,12.38,17.21,3.77,7.0,-2.46,0.587,2.55,1.54,1.26,0.67,17.59,51.2,39.06,2.35,3.38,2.19,95.97,15.86,-8.31,1496.0,1472.67,1.33,47278,74000,1.0
67,3,17,2017,56572.937,59982.937,38.41,-9.07,-3.63,-6.59,37.49,27.68,9.1,11.05,49.44,2.71,6.0,-2.8,0.581,-2.95,4.02,3.65,2.82,7.02,45.29,36.34,-0.01,0.92,3.78,-67.81,-32.6,8.64,1477.0,1472.87,1.49,45545,75000,1.0
68,3,18,2018,99507.252,118022.252,57.07,-20.5,-14.46,-17.21,32.96,44.68,18.13,0.0,35.24,2.43,5.0,-2.3,0.938,5.93,2.26,1.86,1.08,1.73,57.47,39.05,-18.38,0.12,11.37,-71.28,63.27,12.81,1740.0,1743.6,1.65,44581,99000,1.0
69,3,19,2019,126983.995,142661.995,72.33,-18.55,-12.54,-15.25,31.64,52.4,12.78,0.0,39.98,3.34,6.0,-2.74,0.606,-3.83,1.62,1.2,0.45,4.42,74.27,56.27,-0.69,0.19,10.32,392.59,11.99,7.15,1758.0,1755.62,1.22,42827,103000,1.0
70,3,20,2020,153090.75,168057.75,86.86,-18.53,-11.99,-15.0,37.86,56.97,23.87,0.0,46.41,3.83,7.0,-2.58,0.686,-0.93,1.44,1.04,0.38,6.76,88.74,66.22,-0.39,0.47,3.69,54.89,10.55,9.85,1768.0,1762.5,0.77,38990,107000,1.0
71,3,21,2021,193931.973,206651.973,109.49,-18.41,-10.91,-14.28,43.36,65.28,38.48,0.0,53.25,4.34,6.0,-2.59,0.67,-1.64,1.72,1.3,0.6,9.81,114.42,62.82,-0.5,0.21,8.17,21.36,13.58,14.05,1773.0,1771.23,0.7,37450,109000,1.0
72,3,22,2022,248276.619,257255.619,140.74,-16.52,-8.59,-12.3,57.27,88.5,79.61,0.0,21.74,5.52,9.0,-2.64,0.617,-1.93,1.85,1.46,0.78,15.81,141.46,105.79,0.4,0.93,24.26,57.6,38.69,19.17,1775.0,1764.08,0.7,35926,113000,1.0
73,3,23,2023,190793.062,198558.062,109.79,-15.87,-7.21,-11.41,66.09,94.05,82.19,13.18,34.18,4.85,5.0,-2.66,0.591,-1.22,1.63,1.23,0.66,14.99,139.04,95.06,1.49,1.99,2.78,-0.76,0.17,18.86,1753.0,1737.8,0.68,33984,115000,1.0
74,4,1,2001,13923.588,12643.19,14.9,-4.17,-1.28,-2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.165,-13.41,1.1,1.1,0.45,,15.5,14.05,,-12.87,0.0,0.0,0.0,0.0,934.469,934.469,0.0,0,75000,1.0
75,4,2,2002,15529.836,14798.783,16.45,-3.94,-1.05,-2.89,0.0,0.0,0.0,2.28,0.0,4.87,,0.0,-0.048,-10.9,1.22,1.22,0.4,30.62,29.9,11.85,-1.03,2.81,-8.42,-50.53,-34.69,0.0,425.942,944.063,0.0,0,75000,1.0
76,4,3,2003,19780.453,18432.503,21.16,-3.53,-0.63,-2.39,0.0,0.0,0.0,4.0,0.0,5.74,,0.0,-0.094,-14.51,1.52,1.52,0.7,72.89,21.54,12.2,0.98,1.54,5.0,87.5,37.11,0.0,468.592,934.804,0.0,0,83000,1.0
77,4,4,2004,24813.896,22985.489,26.1,-3.9,-0.42,-2.58,0.0,0.0,0.0,6.07,0.0,5.55,5.0,-2.78,-0.055,-2.1,1.4,1.4,0.65,81.09,27.91,21.39,-1.7,2.9,12.13,16.19,8.63,0.0,553.298,950.724,1.8,0,100000,1.0
78,4,5,2005,20980.852,19089.549,24.4,-5.02,-0.67,-3.49,0.0,0.0,0.0,7.17,0.0,5.11,5.0,-2.82,-0.024,-4.15,1.36,1.36,0.6,,27.55,21.47,9.56,6.32,18.05,27.87,17.61,0.0,588.505,859.871,1.47,0,123000,1.0
79,4,6,2006,24486.762,21986.558,29.66,-5.07,-0.5,-2.25,0.0,0.0,0.0,7.65,21.0,5.19,5.0,-3.33,-0.068,-15.18,1.25,1.25,0.59,,32.94,24.92,3.99,6.74,14.57,1.92,-1.42,0.0,589.1,825.582,1.36,0,140000,1.0
80,4,7,2007,31339.999,28560.871,41.21,-6.76,-0.94,-3.11,27.36,0.0,36.19,9.15,25.41,5.59,8.0,-2.9,-0.075,-9.65,1.14,1.14,0.51,,43.81,28.38,7.88,5.81,22.1,23.9,45.43,18.16,604.129,760.495,1.4,1318,170000,1.0
81,4,8,2008,30242.97,27280.375,41.36,-8.53,-0.96,-3.9,37.09,0.0,47.86,11.81,30.44,5.42,9.0,-2.63,-0.039,-6.35,1.34,1.34,0.53,133.65,42.21,32.79,3.85,6.02,23.55,34.52,27.98,17.87,610.949,731.213,0.74,2522,186000,1.0
82,4,9,2009,20557.548,16559.922,33.0,-7.82,-0.69,-3.77,43.96,0.0,53.64,13.93,35.93,4.73,7.0,-3.22,-0.094,-10.81,1.44,1.44,0.73,204.88,41.96,26.67,14.81,7.06,-4.19,-7.92,-7.82,20.06,623.007,622.956,0.6,250,177000,1.0
83,4,10,2010,22876.391,18475.677,36.6,-8.25,-0.7,-5.21,49.25,0.0,41.92,13.88,40.34,4.77,8.0,-2.93,-0.128,-8.08,1.46,1.46,0.74,199.25,44.67,33.21,-0.33,7.14,2.26,9.02,9.47,15.56,637.17,625.038,0.66,247,204000,1.0
84,4,11,2011,34374.448,29144.781,53.59,-9.58,-0.59,-5.8,56.74,0.0,42.35,18.08,46.92,5.12,7.0,-2.54,-0.105,-2.93,1.45,1.45,0.72,231.47,63.44,37.4,-2.62,4.7,22.17,27.44,22.43,12.45,645.631,641.434,0.81,243,236000,1.0
85,4,12,2012,39016.146,32851.987,61.6,-9.28,0.11,-5.63,60.19,61.23,39.96,20.0,54.13,5.49,5.0,-3.01,-0.128,-7.01,1.55,1.55,0.82,257.17,65.89,49.82,1.26,4.21,11.23,13.27,14.13,10.42,643.133,633.379,1.24,240,257000,1.0
86,4,13,2013,45954.107,40812.94,72.25,-9.86,-0.1,-5.93,60.99,66.38,56.02,21.45,57.86,6.16,6.0,-2.39,-0.011,6.73,1.45,1.45,0.69,289.75,83.09,61.06,-0.42,4.41,4.08,28.39,11.77,11.98,645.537,636.043,1.39,247,275000,1.0
87,4,14,2014,50946.129,46602.257,81.06,-11.57,-0.47,-6.97,69.09,71.72,64.41,21.76,62.72,6.37,6.0,-2.38,0.082,2.85,1.46,1.46,0.6,243.03,85.4,70.28,1.19,3.93,8.05,-8.32,2.81,14.31,634.216,628.499,1.27,238,305000,1.0
88,4,15,2015,59079.103,55257.17,94.27,-12.3,-2.18,-7.7,74.56,78.28,50.6,21.63,67.45,6.86,5.0,-2.64,0.129,0.26,1.26,1.26,0.51,304.29,105.2,75.85,0.29,3.21,5.33,5.31,4.8,10.63,626.8,626.701,1.16,259,358000,1.0
89,4,16,2016,71377.395,67130.255,115.0,-13.12,-1.74,-8.2,75.23,87.97,48.55,26.09,73.51,6.75,8.0,-2.66,0.182,0.27,1.35,1.35,0.55,295.88,119.65,92.29,0.96,2.82,7.46,35.5,27.27,9.05,624.798,620.673,1.01,284,384000,1.0
